"season","seasonType","week","poll","rank","school","conference","points","year","points_missing"
2018,"regular",2,"Coaches Poll",20,"UCF","American Athletic",339,2018,0
2018,"regular",2,"Coaches Poll",1,"Alabama","SEC",1571,2018,0
2018,"regular",2,"Coaches Poll",18,"Mississippi State","SEC",531,2018,0
2018,"regular",2,"Coaches Poll",2,"Clemson","ACC",1498,2018,0
2018,"regular",2,"Coaches Poll",14,"Virginia Tech","ACC",730,2018,0
2018,"regular",2,"Coaches Poll",21,"Miami","ACC",277,2018,0
2018,"regular",2,"Coaches Poll",19,"Boise State","Mountain West",362,2018,0
2018,"regular",2,"Coaches Poll",4,"Ohio State","Big Ten",1398,2018,0
2018,"regular",2,"Coaches Poll",13,"Michigan State","Big Ten",733,2018,0
2018,"regular",2,"Coaches Poll",22,"Michigan","Big Ten",227,2018,0
2018,"regular",2,"Coaches Poll",10,"Penn State","Big Ten",893,2018,0
2018,"regular",2,"Coaches Poll",6,"Wisconsin","Big Ten",1249,2018,0
2018,"regular",2,"Coaches Poll",5,"Oklahoma","Big 12",1312,2018,0
2018,"regular",2,"AP Top 25",8,"Notre Dame","FBS Independents",1080,2018,0
2018,"regular",2,"AP Top 25",3,"Georgia","SEC",1350,2018,0
2018,"regular",2,"AP Top 25",25,"Florida","SEC",89,2018,0
2018,"regular",2,"AP Top 25",24,"South Carolina","SEC",125,2018,0
2018,"regular",2,"AP Top 25",16,"TCU","Big 12",632,2018,0
2018,"regular",2,"AP Top 25",14,"West Virginia","Big 12",762,2018,0
2018,"regular",2,"AP Top 25",23,"Oregon","Pac-12",217,2018,0
2018,"regular",2,"AP Top 25",10,"Stanford","Pac-12",865,2018,0
2018,"regular",2,"AP Top 25",9,"Washington","Pac-12",870,2018,0
2018,"regular",2,"AP Top 25",17,"USC","Pac-12",628,2018,0
2018,"regular",2,"AP Top 25",7,"Auburn","SEC",1236,2018,0
2018,"regular",2,"AP Top 25",11,"LSU","SEC",801,2018,0
2018,"regular",2,"AP Top 25",19,"UCF","American Athletic",407,2018,0
2018,"regular",2,"AP Top 25",1,"Alabama","SEC",1511,2018,0
2018,"regular",2,"AP Top 25",18,"Mississippi State","SEC",538,2018,0
